Attaching to runbundler_bundler-waiter_1, runbundler_bundler_1, runbundler_deployer_1, runbundler_funder_1, geth-1.10
[36mgeth-1.10           |[0m 2023-10-09T16:09:01.963982391Z WARN [10-09|16:09:01.963] You are running Geth in --dev mode. Please note the following:
[36mgeth-1.10           |[0m 2023-10-09T16:09:10.904443122Z WARN [10-09|16:09:10.904] Served eth_call                          conn=172.18.0.3:47122 reqid=74 duration="248.322µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:10.949170512Z WARN [10-09|16:09:10.949] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:11.143319028Z WARN [10-09|16:09:11.143] Served eth_call                          conn=172.18.0.3:47178 reqid=79 duration="258.123µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:11.355920491Z WARN [10-09|16:09:11.355] Served eth_call                          conn=172.18.0.3:47232 reqid=86 duration="257.723µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:11.390302858Z WARN [10-09|16:09:11.390] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:11.586828787Z WARN [10-09|16:09:11.586] Served eth_call                          conn=172.18.0.3:37094 reqid=91 duration="285.026µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:11.784430811Z WARN [10-09|16:09:11.784] Served eth_call                          conn=172.18.0.3:37144 reqid=98 duration="242.222µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:11.818528453Z WARN [10-09|16:09:11.818] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.015074883Z WARN [10-09|16:09:12.014] Served eth_call                          conn=172.18.0.3:37188 reqid=103 duration="240.321µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.060103400Z WARN [10-09|16:09:12.059] Served eth_call                          conn=172.18.0.3:37312 reqid=112 duration="215.32µs"  err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.283853257Z WARN [10-09|16:09:12.283] Served eth_call                          conn=172.18.0.3:37328 reqid=115 duration="280.925µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.347370122Z WARN [10-09|16:09:12.347] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.358963156Z WARN [10-09|16:09:12.358] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.386479110Z WARN [10-09|16:09:12.386] Served eth_call                          conn=172.18.0.3:37440 reqid=128 duration="382.034µs" err="execution reverted"              errdata=0x11e6f5a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000014612eb626618c8d0aa776feaee6d955d7b740b7196f63e7c8d82e958aa838db1
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.557385054Z WARN [10-09|16:09:12.557] Served eth_call                          conn=172.18.0.3:37460 reqid=130 duration="249.222µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.763438933Z WARN [10-09|16:09:12.763] Served eth_call                          conn=172.18.0.3:37540 reqid=137 duration="307.828µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.800179710Z WARN [10-09|16:09:12.799] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:12.997125276Z WARN [10-09|16:09:12.996] Served eth_call                          conn=172.18.0.3:37582 reqid=142 duration="235.621µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:13.203256662Z WARN [10-09|16:09:13.203] Served eth_call                          conn=172.18.0.3:37638 reqid=149 duration="255.023µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:13.243868684Z WARN [10-09|16:09:13.243] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:13.438550248Z WARN [10-09|16:09:13.438] Served eth_call                          conn=172.18.0.3:37710 reqid=156 duration="247.522µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:13.647239962Z WARN [10-09|16:09:13.647] Served eth_call                          conn=172.18.0.3:37758 reqid=163 duration="245.722µs" err="execution reverted"              errdata=0x091cd005010f3d63fe404e4d05bc48e570e2e0c937ccf9f8eceb20ae92f0780ebccc8a4c
[36mgeth-1.10           |[0m 2023-10-09T16:09:13.777021838Z WARN [10-09|16:09:13.776] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:13.812495302Z WARN [10-09|16:09:13.812] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:13.903559624Z WARN [10-09|16:09:13.903] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:13.935263252Z WARN [10-09|16:09:13.935] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:13.956073408Z WARN [10-09|16:09:13.955] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.029563063Z WARN [10-09|16:09:14.029] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.079448912Z WARN [10-09|16:09:14.079] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.566490753Z WARN [10-09|16:09:14.566] Served eth_call                          conn=172.18.0.3:37860 reqid=174 duration="306.427µs" err="execution reverted"              errdata=0x091cd005c84b5a1c71cca9012464eede99f95cdc0cc0859608a1b4ff1df2c9d9eb20f6f8
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.609881723Z WARN [10-09|16:09:14.609] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.652180796Z WARN [10-09|16:09:14.652] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.713115431Z WARN [10-09|16:09:14.712] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.744733651Z WARN [10-09|16:09:14.744] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.764974457Z WARN [10-09|16:09:14.764] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.810163487Z WARN [10-09|16:09:14.809] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:14.850309668Z WARN [10-09|16:09:14.850] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:15.334784180Z WARN [10-09|16:09:15.334] Served eth_call                          conn=172.18.0.3:37908 reqid=179 duration="278.125µs" err="execution reverted"              errdata=0x091cd005e232e1d5c43b8f2fa71019bf7a9c6689459285f278bc264b235ad6e843e6dc1d
[36mgeth-1.10           |[0m 2023-10-09T16:09:15.378077842Z WARN [10-09|16:09:15.377] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:15.416453264Z WARN [10-09|16:09:15.416] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:15.440171380Z WARN [10-09|16:09:15.439] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:15.476480718Z WARN [10-09|16:09:15.476] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:15.502689356Z WARN [10-09|16:09:15.502] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:15.550999565Z WARN [10-09|16:09:15.550] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:15.591674693Z WARN [10-09|16:09:15.591] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.092270343Z WARN [10-09|16:09:16.092] Served eth_call                          conn=172.18.0.3:37944 reqid=184 duration="289.726µs" err="execution reverted"              errdata=0x091cd005fc583283b995be5a3f4e70fa9fee0621f1432069053b160443f2c5a5977ed2d0
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.131240819Z WARN [10-09|16:09:16.131] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.165879708Z WARN [10-09|16:09:16.165] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.189924953Z WARN [10-09|16:09:16.189] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.230248250Z WARN [10-09|16:09:16.230] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.249712586Z WARN [10-09|16:09:16.249] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.295064731Z WARN [10-09|16:09:16.294] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.334824277Z WARN [10-09|16:09:16.334] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.364131391Z WARN [10-09|16:09:16.363] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.403361890Z WARN [10-09|16:09:16.403] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.425662779Z WARN [10-09|16:09:16.425] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.461422669Z WARN [10-09|16:09:16.461] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.955440532Z WARN [10-09|16:09:16.955] Served eth_call                          conn=172.18.0.3:37982 reqid=189 duration="268.124µs" err="execution reverted"              errdata=0x091cd00500dcbcd4b097407c8b45b17d81852b5fe9352bb64028f24063d40405d2c3985a
[36mgeth-1.10           |[0m 2023-10-09T16:09:16.990588567Z WARN [10-09|16:09:16.990] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:17.025126248Z WARN [10-09|16:09:17.024] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:17.152606318Z WARN [10-09|16:09:17.152] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:17.187570437Z WARN [10-09|16:09:17.187] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:17.664828205Z WARN [10-09|16:09:17.664] Served eth_call                          conn=172.18.0.3:38036 reqid=196 duration="276.725µs" err="execution reverted"              errdata=0x091cd00513980297cd0717e465cb9d4414dad6d0043c5fb467e0835c984b437f02f5923c
[36mgeth-1.10           |[0m 2023-10-09T16:09:17.706472019Z WARN [10-09|16:09:17.706] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:17.740474252Z WARN [10-09|16:09:17.740] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:17.761763551Z WARN [10-09|16:09:17.761] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:17.795233136Z WARN [10-09|16:09:17.795] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:18.280256297Z WARN [10-09|16:09:18.280] Served eth_call                          conn=172.18.0.3:38100 reqid=207 duration="283.926µs" err="execution reverted"              errdata=0x091cd005bde5a10421b013f23b0b57c5ca50523091ebcba75ca87d2613cfef43eadc0eab
[36mgeth-1.10           |[0m 2023-10-09T16:09:18.316629041Z WARN [10-09|16:09:18.316] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:18.348326469Z WARN [10-09|16:09:18.348] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:18.369797884Z WARN [10-09|16:09:18.369] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:18.406566563Z WARN [10-09|16:09:18.406] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:18.877869660Z WARN [10-09|16:09:18.877] Served eth_call                          conn=172.18.0.3:38158 reqid=214 duration="287.625µs" err="execution reverted"              errdata=0x091cd005d0d72546ad26a2fa766ab65c6f42602a181ccb38801355b041c7f18d5aa84c0e
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.365049255Z WARN [10-09|16:09:19.364] Served eth_call                          conn=172.18.0.3:38226 reqid=221 duration="337.03µs"  err="execution reverted"              errdata=0x091cd005d0d72546ad26a2fa766ab65c6f42602a181ccb38801355b041c7f18d5aa84c0e
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.404612404Z WARN [10-09|16:09:19.404] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.438758066Z WARN [10-09|16:09:19.438] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.461516707Z WARN [10-09|16:09:19.461] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.494164536Z WARN [10-09|16:09:19.493] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.514116025Z WARN [10-09|16:09:19.513] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.558652219Z WARN [10-09|16:09:19.558] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.598763717Z WARN [10-09|16:09:19.598] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.628008240Z WARN [10-09|16:09:19.627] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.661886879Z WARN [10-09|16:09:19.661] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.701095295Z WARN [10-09|16:09:19.700] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:19.743874232Z WARN [10-09|16:09:19.743] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.209563099Z WARN [10-09|16:09:20.209] Served eth_call                          conn=172.18.0.3:38260 reqid=226 duration="288.926µs" err="execution reverted"              errdata=0x091cd0053efd0ddd93bd07834b841fceeab59272bf920b4e0eb64b4bbd17f374de22aae2
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.244382922Z WARN [10-09|16:09:20.244] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.280266141Z WARN [10-09|16:09:20.280] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.320927188Z WARN [10-09|16:09:20.320] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.362095580Z WARN [10-09|16:09:20.361] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.824400344Z WARN [10-09|16:09:20.824] Served eth_call                          conn=172.18.0.3:38326 reqid=233 duration="273.525µs" err="execution reverted"              errdata=0x091cd0056287fd332a860aa05ed9f597df7f8df93460e344e2a874ddb007ac25eb6337a1
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.857519014Z WARN [10-09|16:09:20.857] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.890593181Z WARN [10-09|16:09:20.890] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.930403852Z WARN [10-09|16:09:20.930] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:20.971906174Z WARN [10-09|16:09:20.971] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:21.439807340Z WARN [10-09|16:09:21.439] Served eth_call                          conn=172.18.0.3:56338 reqid=240 duration="276.525µs" err="execution reverted"              errdata=0x091cd00516677b1cae0d4ef42244fce745f8ca628593a6b90c98bdb1325d0ab65454518b
[36mgeth-1.10           |[0m 2023-10-09T16:09:21.475623352Z WARN [10-09|16:09:21.475] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:21.507896947Z WARN [10-09|16:09:21.507] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:21.546522911Z WARN [10-09|16:09:21.546] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:21.586965438Z WARN [10-09|16:09:21.586] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.048909270Z WARN [10-09|16:09:22.048] Served eth_call                          conn=172.18.0.3:56410 reqid=248 duration="265.924µs" err="execution reverted"              errdata=0x091cd005a4edebe78c16223d0ad73753fb2d2659430d9c2938f5337224dd5688325bc84b
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.539666486Z WARN [10-09|16:09:22.539] Served eth_call                          conn=172.18.0.3:56478 reqid=257 duration="286.526µs" err="execution reverted"              errdata=0x091cd005a4edebe78c16223d0ad73753fb2d2659430d9c2938f5337224dd5688325bc84b
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.581172509Z WARN [10-09|16:09:22.581] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.722447679Z WARN [10-09|16:09:22.722] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.744548262Z WARN [10-09|16:09:22.744] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.775660952Z WARN [10-09|16:09:22.775] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.793816881Z WARN [10-09|16:09:22.793] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.839844809Z WARN [10-09|16:09:22.839] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.882361422Z WARN [10-09|16:09:22.882] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.930858672Z WARN [10-09|16:09:22.930] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.971391807Z WARN [10-09|16:09:22.971] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:22.993301672Z WARN [10-09|16:09:22.993] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:23.027013096Z WARN [10-09|16:09:23.026] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:23.494038483Z WARN [10-09|16:09:23.493] Served eth_call                          conn=172.18.0.3:56518 reqid=262 duration="282.125µs" err="execution reverted"              errdata=0x091cd005a9f0e37670248ef14bc118066accb0125921fb23d35e61cef063ce726c23479f
[36mgeth-1.10           |[0m 2023-10-09T16:09:23.545488198Z WARN [10-09|16:09:23.545] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:23.585057447Z WARN [10-09|16:09:23.584] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:23.605628492Z WARN [10-09|16:09:23.605] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:23.639528932Z WARN [10-09|16:09:23.639] Block sealing failed                     err="sealing paused while waiting for transactions"
[36mgeth-1.10           |[0m 2023-10-09T16:09:24.121901796Z WARN [10-09|16:09:24.121] Served eth_call                          conn=172.18.0.3:56572 reqid=269 duration="323.529µs" err="execution reverted"              errdata=0x091cd0050be1bdedfaab5fcd4e2543db91378a9f59aeb5265178288e785a55ccc2ec275e
[36mgeth-1.10           |[0m 2023-10-09T16:09:24.180938791Z WARN [10-09|16:09:24.179] Block sealing failed                     err="sealing paused while waiting for transactions"
