funder-1  | 2025-04-16T11:42:14.548341456Z Error: error sending request for url (http://eth-node:8545/)
bundler-1         | 2025-04-16T11:42:22.604937340Z     reqId: "req-2"
bundler-1         | 2025-04-16T11:42:22.604943592Z     body: {
bundler-1         | 2025-04-16T11:42:22.604948310Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.604953340Z       "id": 0,
bundler-1         | 2025-04-16T11:42:22.604958950Z       "result": "ok"
bundler-1         | 2025-04-16T11:42:22.604963819Z     }
bundler-1         | 2025-04-16T11:42:22.604968438Z [11:42:22.340] [32mINFO[39m (1): [36mREQUEST ::[39m
bundler-1         | 2025-04-16T11:42:22.604973207Z     reqId: "req-3"
bundler-1         | 2025-04-16T11:42:22.604978216Z     method: "POST"
bundler-1         | 2025-04-16T11:42:22.604983947Z     url: "/rpc"
bundler-1         | 2025-04-16T11:42:22.604989547Z     body: {
bundler-1         | 2025-04-16T11:42:22.604994877Z       "method": "debug_bundler_setBundlingMode",
bundler-1         | 2025-04-16T11:42:22.605000758Z       "id": 1,
bundler-1         | 2025-04-16T11:42:22.605005637Z       "params": [
bundler-1         | 2025-04-16T11:42:22.605010727Z         "manual"
bundler-1         | 2025-04-16T11:42:22.605015556Z       ],
bundler-1         | 2025-04-16T11:42:22.605020074Z       "jsonrpc": "2.0"
bundler-1         | 2025-04-16T11:42:22.605025194Z     }
bundler-1         | 2025-04-16T11:42:22.605030033Z [11:42:22.340] [32mINFO[39m (1): [36mRESPONSE ::[39m
bundler-1         | 2025-04-16T11:42:22.605035363Z     reqId: "req-3"
bundler-1         | 2025-04-16T11:42:22.605040092Z     body: {
bundler-1         | 2025-04-16T11:42:22.605047586Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.605052485Z       "id": 1,
bundler-1         | 2025-04-16T11:42:22.605056993Z       "result": "ok"
bundler-1         | 2025-04-16T11:42:22.605061742Z     }
bundler-1         | 2025-04-16T11:42:22.605066471Z [11:42:22.447] [32mINFO[39m (1): [36mREQUEST ::[39m
bundler-1         | 2025-04-16T11:42:22.605083633Z     reqId: "req-4"
bundler-1         | 2025-04-16T11:42:22.605087270Z     method: "POST"
bundler-1         | 2025-04-16T11:42:22.605090415Z     url: "/rpc"
bundler-1         | 2025-04-16T11:42:22.605094062Z     body: {
bundler-1         | 2025-04-16T11:42:22.605097208Z       "method": "eth_sendUserOperation",
bundler-1         | 2025-04-16T11:42:22.605100645Z       "id": 2,
bundler-1         | 2025-04-16T11:42:22.605103590Z       "params": [
bundler-1         | 2025-04-16T11:42:22.605106746Z         {
bundler-1         | 2025-04-16T11:42:22.605109511Z           "sender": "0xC52b85D369D987fb508FD5AB19423c64677fd019",
bundler-1         | 2025-04-16T11:42:22.605112707Z           "nonce": "0x0",
bundler-1         | 2025-04-16T11:42:22.605115983Z           "callData": "0xa9e966b70000000000000000000000000000000000000000000000000000000000000001",
bundler-1         | 2025-04-16T11:42:22.605119099Z           "callGasLimit": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.605122315Z           "verificationGasLimit": "0xf4240",
bundler-1         | 2025-04-16T11:42:22.605125862Z           "preVerificationGas": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.605128847Z           "maxFeePerGas": "0x12a05f200",
bundler-1         | 2025-04-16T11:42:22.605131933Z           "maxPriorityFeePerGas": "0x3b9aca00",
bundler-1         | 2025-04-16T11:42:22.605134909Z           "signature": "0x"
bundler-1         | 2025-04-16T11:42:22.605137664Z         },
bundler-1         | 2025-04-16T11:42:22.605140459Z         "0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108"
bundler-1         | 2025-04-16T11:42:22.605143334Z       ],
bundler-1         | 2025-04-16T11:42:22.605146230Z       "jsonrpc": "2.0"
bundler-1         | 2025-04-16T11:42:22.605149316Z     }
bundler-1         | 2025-04-16T11:42:22.605152061Z [11:42:22.451] [34mDEBUG[39m (1): [36mValidating user op before sending to mempool...[39m
bundler-1         | 2025-04-16T11:42:22.620581879Z [11:42:22.618] [34mDEBUG[39m (1): [36mOpcode validation successful. Trying saving in mempool...[39m
bundler-1         | 2025-04-16T11:42:22.651614903Z [11:42:22.634] [34mDEBUG[39m (1): [36mMempool: User op added[39m
bundler-1         | 2025-04-16T11:42:22.653750096Z [11:42:22.634] [34mDEBUG[39m (1): [36mSaved in mempool[39m
bundler-1         | 2025-04-16T11:42:22.653763401Z [11:42:22.635] [32mINFO[39m (1): [36mRESPONSE ::[39m
bundler-1         | 2025-04-16T11:42:22.653766697Z     reqId: "req-4"
bundler-1         | 2025-04-16T11:42:22.653769092Z     body: {
bundler-1         | 2025-04-16T11:42:22.653771236Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.653773600Z       "id": 2,
bundler-1         | 2025-04-16T11:42:22.653775854Z       "result": "0x3726ccb225ad7001655173a92df04ad4327f084cad206a9c92073759720d96e5"
bundler-1         | 2025-04-16T11:42:22.653778209Z     }
bundler-1         | 2025-04-16T11:42:22.653780213Z [11:42:22.637] [32mINFO[39m (1): [36mREQUEST ::[39m
bundler-1         | 2025-04-16T11:42:22.653782557Z     reqId: "req-5"
bundler-1         | 2025-04-16T11:42:22.653784601Z     method: "POST"
bundler-1         | 2025-04-16T11:42:22.653786675Z     url: "/rpc"
bundler-1         | 2025-04-16T11:42:22.653797605Z     body: {
bundler-1         | 2025-04-16T11:42:22.653800220Z       "method": "debug_bundler_dumpMempool",
bundler-1         | 2025-04-16T11:42:22.653802464Z       "id": 3,
bundler-1         | 2025-04-16T11:42:22.653804839Z       "params": [
bundler-1         | 2025-04-16T11:42:22.653807433Z         "0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108"
bundler-1         | 2025-04-16T11:42:22.653809677Z       ],
bundler-1         | 2025-04-16T11:42:22.653811711Z       "jsonrpc": "2.0"
bundler-1         | 2025-04-16T11:42:22.653813905Z     }
bundler-1         | 2025-04-16T11:42:22.653816009Z [11:42:22.638] [32mINFO[39m (1): [36mRESPONSE ::[39m
bundler-1         | 2025-04-16T11:42:22.653818284Z     reqId: "req-5"
bundler-1         | 2025-04-16T11:42:22.653820308Z     body: {
bundler-1         | 2025-04-16T11:42:22.653822251Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.653824305Z       "id": 3,
bundler-1         | 2025-04-16T11:42:22.653826309Z       "result": [
bundler-1         | 2025-04-16T11:42:22.653828352Z         {
bundler-1         | 2025-04-16T11:42:22.653830396Z           "sender": "0xC52b85D369D987fb508FD5AB19423c64677fd019",
bundler-1         | 2025-04-16T11:42:22.653832570Z           "nonce": "0x0",
bundler-1         | 2025-04-16T11:42:22.653834664Z           "callData": "0xa9e966b70000000000000000000000000000000000000000000000000000000000000001",
bundler-1         | 2025-04-16T11:42:22.653836868Z           "callGasLimit": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.653838962Z           "verificationGasLimit": "0xf4240",
bundler-1         | 2025-04-16T11:42:22.653841026Z           "preVerificationGas": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.653843050Z           "maxFeePerGas": "0x12a05f200",
bundler-1         | 2025-04-16T11:42:22.653845104Z           "maxPriorityFeePerGas": "0x3b9aca00",
bundler-1         | 2025-04-16T11:42:22.653847218Z           "signature": "0x"
bundler-1         | 2025-04-16T11:42:22.653849271Z         }
bundler-1         | 2025-04-16T11:42:22.653851225Z       ]
bundler-1         | 2025-04-16T11:42:22.653853189Z     }
bundler-1         | 2025-04-16T11:42:22.653855113Z [11:42:22.640] [32mINFO[39m (1): [36mREQUEST ::[39m
bundler-1         | 2025-04-16T11:42:22.653857257Z     reqId: "req-6"
bundler-1         | 2025-04-16T11:42:22.653859230Z     method: "POST"
bundler-1         | 2025-04-16T11:42:22.653861254Z     url: "/rpc"
bundler-1         | 2025-04-16T11:42:22.653863228Z     body: {
bundler-1         | 2025-04-16T11:42:22.653865191Z       "method": "eth_sendUserOperation",
bundler-1         | 2025-04-16T11:42:22.653867315Z       "id": 4,
bundler-1         | 2025-04-16T11:42:22.653869289Z       "params": [
bundler-1         | 2025-04-16T11:42:22.653871272Z         {
bundler-1         | 2025-04-16T11:42:22.653873256Z           "sender": "0xC52b85D369D987fb508FD5AB19423c64677fd019",
bundler-1         | 2025-04-16T11:42:22.653875340Z           "nonce": "0x0",
bundler-1         | 2025-04-16T11:42:22.653877384Z           "callData": "0xa9e966b70000000000000000000000000000000000000000000000000000000000000002",
bundler-1         | 2025-04-16T11:42:22.653882524Z           "callGasLimit": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.653884808Z           "verificationGasLimit": "0xf4240",
bundler-1         | 2025-04-16T11:42:22.653886862Z           "preVerificationGas": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.653888885Z           "maxFeePerGas": "0x12a05f200",
bundler-1         | 2025-04-16T11:42:22.653890909Z           "maxPriorityFeePerGas": "0x4190ab00",
bundler-1         | 2025-04-16T11:42:22.653892983Z           "signature": "0x"
bundler-1         | 2025-04-16T11:42:22.653895007Z         },
bundler-1         | 2025-04-16T11:42:22.653896971Z         "0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108"
bundler-1         | 2025-04-16T11:42:22.653899044Z       ],
bundler-1         | 2025-04-16T11:42:22.653900998Z       "jsonrpc": "2.0"
bundler-1         | 2025-04-16T11:42:22.653903062Z     }
bundler-1         | 2025-04-16T11:42:22.653905026Z [11:42:22.642] [31mERROR[39m (1): [36mUser op cannot be replaced: fee too low[39m
bundler-1         | 2025-04-16T11:42:22.653907280Z     err: {
bundler-1         | 2025-04-16T11:42:22.653909764Z       "type": "RpcError",
bundler-1         | 2025-04-16T11:42:22.653911888Z       "message": "User op cannot be replaced: fee too low",
bundler-1         | 2025-04-16T11:42:22.653914012Z       "stack":
bundler-1         | 2025-04-16T11:42:22.653916046Z           Error: User op cannot be replaced: fee too low
bundler-1         | 2025-04-16T11:42:22.653918160Z               at MempoolService.validateReplaceability (file:///usr/app/packages/executor/lib/services/MempoolService/service.js:208:15)
bundler-1         | 2025-04-16T11:42:22.653920354Z               at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
bundler-1         | 2025-04-16T11:42:22.653922438Z               at async Eth.sendUserOperation (file:///usr/app/packages/executor/lib/modules/eth.js:64:9)
bundler-1         | 2025-04-16T11:42:22.653924502Z               at async EthAPI.sendUserOperation (file:///usr/app/packages/api/lib/modules/eth.js:20:16)
bundler-1         | 2025-04-16T11:42:22.653926566Z               at async ApiApp.handleRpcRequest (file:///usr/app/packages/api/lib/app.js:201:30)
bundler-1         | 2025-04-16T11:42:22.653928740Z               at async Object.<anonymous> (file:///usr/app/packages/api/lib/app.js:41:28)
bundler-1         | 2025-04-16T11:42:22.653931014Z       "code": -32602
bundler-1         | 2025-04-16T11:42:22.653933118Z     }
bundler-1         | 2025-04-16T11:42:22.653935102Z [11:42:22.642] [32mINFO[39m (1): [36mRESPONSE ::[39m
bundler-1         | 2025-04-16T11:42:22.653937266Z     reqId: "req-6"
bundler-1         | 2025-04-16T11:42:22.653939299Z     body: {
bundler-1         | 2025-04-16T11:42:22.653941253Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.653943327Z       "id": 4,
bundler-1         | 2025-04-16T11:42:22.653945311Z       "error": {
bundler-1         | 2025-04-16T11:42:22.653959678Z         "message": "User op cannot be replaced: fee too low",
bundler-1         | 2025-04-16T11:42:22.653961932Z         "code": -32602
bundler-1         | 2025-04-16T11:42:22.653964006Z       }
bundler-1         | 2025-04-16T11:42:22.653965989Z     }
bundler-1         | 2025-04-16T11:42:22.653967973Z [11:42:22.644] [32mINFO[39m (1): [36mREQUEST ::[39m
bundler-1         | 2025-04-16T11:42:22.653972852Z     reqId: "req-7"
bundler-1         | 2025-04-16T11:42:22.653974956Z     method: "POST"
bundler-1         | 2025-04-16T11:42:22.653976970Z     url: "/rpc"
bundler-1         | 2025-04-16T11:42:22.653978984Z     body: {
bundler-1         | 2025-04-16T11:42:22.653980977Z       "method": "debug_bundler_dumpMempool",
bundler-1         | 2025-04-16T11:42:22.653983091Z       "id": 5,
bundler-1         | 2025-04-16T11:42:22.653985085Z       "params": [
bundler-1         | 2025-04-16T11:42:22.653987099Z         "0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108"
bundler-1         | 2025-04-16T11:42:22.653989133Z       ],
bundler-1         | 2025-04-16T11:42:22.653991106Z       "jsonrpc": "2.0"
bundler-1         | 2025-04-16T11:42:22.653993140Z     }
bundler-1         | 2025-04-16T11:42:22.653995124Z [11:42:22.645] [32mINFO[39m (1): [36mRESPONSE ::[39m
bundler-1         | 2025-04-16T11:42:22.653997268Z     reqId: "req-7"
bundler-1         | 2025-04-16T11:42:22.653999242Z     body: {
bundler-1         | 2025-04-16T11:42:22.654001175Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.654003199Z       "id": 5,
bundler-1         | 2025-04-16T11:42:22.654005173Z       "result": [
bundler-1         | 2025-04-16T11:42:22.654007126Z         {
bundler-1         | 2025-04-16T11:42:22.654009110Z           "sender": "0xC52b85D369D987fb508FD5AB19423c64677fd019",
bundler-1         | 2025-04-16T11:42:22.654011324Z           "nonce": "0x0",
bundler-1         | 2025-04-16T11:42:22.654013538Z           "callData": "0xa9e966b70000000000000000000000000000000000000000000000000000000000000001",
bundler-1         | 2025-04-16T11:42:22.654015822Z           "callGasLimit": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.654017906Z           "verificationGasLimit": "0xf4240",
bundler-1         | 2025-04-16T11:42:22.654020010Z           "preVerificationGas": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.654022084Z           "maxFeePerGas": "0x12a05f200",
bundler-1         | 2025-04-16T11:42:22.654024128Z           "maxPriorityFeePerGas": "0x3b9aca00",
bundler-1         | 2025-04-16T11:42:22.654026212Z           "signature": "0x"
bundler-1         | 2025-04-16T11:42:22.654028286Z         }
bundler-1         | 2025-04-16T11:42:22.654030260Z       ]
bundler-1         | 2025-04-16T11:42:22.654032243Z     }
bundler-1         | 2025-04-16T11:42:22.654034177Z [11:42:22.648] [32mINFO[39m (1): [36mREQUEST ::[39m
bundler-1         | 2025-04-16T11:42:22.654036291Z     reqId: "req-8"
bundler-1         | 2025-04-16T11:42:22.654038274Z     method: "POST"
bundler-1         | 2025-04-16T11:42:22.654040288Z     url: "/rpc"
bundler-1         | 2025-04-16T11:42:22.654042542Z     body: {
bundler-1         | 2025-04-16T11:42:22.654044546Z       "method": "debug_bundler_clearState",
bundler-1         | 2025-04-16T11:42:22.654046650Z       "id": 6,
bundler-1         | 2025-04-16T11:42:22.654048674Z       "params": [],
bundler-1         | 2025-04-16T11:42:22.654050698Z       "jsonrpc": "2.0"
bundler-1         | 2025-04-16T11:42:22.654052711Z     }
bundler-1         | 2025-04-16T11:42:22.654057320Z [11:42:22.648] [32mINFO[39m (1): [36mRESPONSE ::[39m
bundler-1         | 2025-04-16T11:42:22.654061458Z     reqId: "req-8"
bundler-1         | 2025-04-16T11:42:22.654063491Z     body: {
bundler-1         | 2025-04-16T11:42:22.654065485Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.654067539Z       "id": 6,
bundler-1         | 2025-04-16T11:42:22.654069623Z       "result": "ok"
bundler-1         | 2025-04-16T11:42:22.654071647Z     }
bundler-1         | 2025-04-16T11:42:22.654073590Z [11:42:22.650] [32mINFO[39m (1): [36mREQUEST ::[39m
bundler-1         | 2025-04-16T11:42:22.654075744Z     reqId: "req-9"
bundler-1         | 2025-04-16T11:42:22.654077728Z     method: "POST"
bundler-1         | 2025-04-16T11:42:22.654079732Z     url: "/rpc"
bundler-1         | 2025-04-16T11:42:22.654081716Z     body: {
bundler-1         | 2025-04-16T11:42:22.654083679Z       "method": "debug_bundler_setBundlingMode",
bundler-1         | 2025-04-16T11:42:22.654085783Z       "id": 7,
bundler-1         | 2025-04-16T11:42:22.654087757Z       "params": [
bundler-1         | 2025-04-16T11:42:22.654089760Z         "manual"
bundler-1         | 2025-04-16T11:42:22.654091784Z       ],
bundler-1         | 2025-04-16T11:42:22.654093748Z       "jsonrpc": "2.0"
bundler-1         | 2025-04-16T11:42:22.654095792Z     }
bundler-1         | 2025-04-16T11:42:22.654097746Z [11:42:22.650] [32mINFO[39m (1): [36mRESPONSE ::[39m
bundler-1         | 2025-04-16T11:42:22.654099869Z     reqId: "req-9"
bundler-1         | 2025-04-16T11:42:22.654101863Z     body: {
bundler-1         | 2025-04-16T11:42:22.654103817Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.654105830Z       "id": 7,
bundler-1         | 2025-04-16T11:42:22.654107844Z       "result": "ok"
bundler-1         | 2025-04-16T11:42:22.654109888Z     }
bundler-1         | 2025-04-16T11:42:22.717992957Z [11:42:22.694] [32mINFO[39m (1): [36mREQUEST ::[39m
bundler-1         | 2025-04-16T11:42:22.718035476Z     reqId: "req-a"
bundler-1         | 2025-04-16T11:42:22.718041347Z     method: "POST"
bundler-1         | 2025-04-16T11:42:22.718046176Z     url: "/rpc"
bundler-1         | 2025-04-16T11:42:22.718051206Z     body: {
bundler-1         | 2025-04-16T11:42:22.718056175Z       "method": "eth_sendUserOperation",
bundler-1         | 2025-04-16T11:42:22.718061395Z       "id": 8,
bundler-1         | 2025-04-16T11:42:22.718065833Z       "params": [
bundler-1         | 2025-04-16T11:42:22.718070462Z         {
bundler-1         | 2025-04-16T11:42:22.718075090Z           "sender": "0x82c530A1aB14b3b305275A8dED431038E048Cd12",
bundler-1         | 2025-04-16T11:42:22.718079649Z           "nonce": "0x0",
bundler-1         | 2025-04-16T11:42:22.718082815Z           "callData": "0xa9e966b70000000000000000000000000000000000000000000000000000000000000001",
bundler-1         | 2025-04-16T11:42:22.718085750Z           "callGasLimit": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.718088385Z           "verificationGasLimit": "0xf4240",
bundler-1         | 2025-04-16T11:42:22.718090970Z           "preVerificationGas": "0x493e0",
bundler-1         | 2025-04-16T11:42:22.718105687Z           "maxFeePerGas": "0x12a05f200",
bundler-1         | 2025-04-16T11:42:22.718108683Z           "maxPriorityFeePerGas": "0x3b9aca00",
bundler-1         | 2025-04-16T11:42:22.718111368Z           "signature": "0x"
bundler-1         | 2025-04-16T11:42:22.718113973Z         },
bundler-1         | 2025-04-16T11:42:22.718116398Z         "0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108"
bundler-1         | 2025-04-16T11:42:22.718119022Z       ],
bundler-1         | 2025-04-16T11:42:22.718121507Z       "jsonrpc": "2.0"
bundler-1         | 2025-04-16T11:42:22.718124102Z     }
bundler-1         | 2025-04-16T11:42:22.718399684Z [11:42:22.695] [34mDEBUG[39m (1): [36mValidating user op before sending to mempool...[39m
bundler-1         | 2025-04-16T11:42:22.846608306Z [11:42:22.826] [34mDEBUG[39m (1): [36mOpcode validation successful. Trying saving in mempool...[39m
bundler-1         | 2025-04-16T11:42:22.848132665Z [11:42:22.832] [34mDEBUG[39m (1): [36mMempool: User op added[39m
bundler-1         | 2025-04-16T11:42:22.848144908Z [11:42:22.832] [34mDEBUG[39m (1): [36mSaved in mempool[39m
bundler-1         | 2025-04-16T11:42:22.848162971Z [11:42:22.832] [32mINFO[39m (1): [36mRESPONSE ::[39m
bundler-1         | 2025-04-16T11:42:22.848167219Z     reqId: "req-a"
bundler-1         | 2025-04-16T11:42:22.848171066Z     body: {
bundler-1         | 2025-04-16T11:42:22.848174613Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.848178190Z       "id": 8,
bundler-1         | 2025-04-16T11:42:22.848181897Z       "result": "0xf2c8f752b591351a5d58b3e1229951fbb6f1859f55fc54de1943009c2c996190"
bundler-1         | 2025-04-16T11:42:22.848185694Z     }
bundler-1         | 2025-04-16T11:42:22.848189210Z [11:42:22.835] [32mINFO[39m (1): [36mREQUEST ::[39m
bundler-1         | 2025-04-16T11:42:22.848193098Z     reqId: "req-b"
bundler-1         | 2025-04-16T11:42:22.848196794Z     method: "POST"
bundler-1         | 2025-04-16T11:42:22.848200321Z     url: "/rpc"
bundler-1         | 2025-04-16T11:42:22.848203898Z     body: {
bundler-1         | 2025-04-16T11:42:22.848207284Z       "method": "debug_bundler_dumpMempool",
bundler-1         | 2025-04-16T11:42:22.848210971Z       "id": 9,
bundler-1         | 2025-04-16T11:42:22.848214518Z       "params": [
bundler-1         | 2025-04-16T11:42:22.848217994Z         "0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108"
bundler-1         | 2025-04-16T11:42:22.848221420Z       ],
bundler-1         | 2025-04-16T11:42:22.848224817Z       "jsonrpc": "2.0"
bundler-1         | 2025-04-16T11:42:22.848228363Z     }
bundler-1         | 2025-04-16T11:42:22.848231790Z [11:42:22.835] [32mINFO[39m (1): [36mRESPONSE ::[39m
bundler-1         | 2025-04-16T11:42:22.848235396Z     reqId: "req-b"
bundler-1         | 2025-04-16T11:42:22.848238322Z     body: {
bundler-1         | 2025-04-16T11:42:22.848241368Z       "jsonrpc": "2.0",
bundler-1         | 2025-04-16T11:42:22.848244714Z       "id": 9,
bundler-1         | 2025-04-16T11:42:22.848248090Z       "result": [
bundler-1         | 2025-04-16T11:42:22.848251777Z         {
